Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
1.0,4.0,0.03984879300696775,0.8722650160052581,0.8921241259959061,-4.999999999999999,137.0,9.0,0.6,left
1.0,4.0,4.115225729998201,4.80590763600776,4.8146864070004085,-4.999999999999999,11.0,7.000000000000001,0.7,left
0.0,,8.190782196004875,0.0,0.0,-7.000000000000001,29.0,7.000000000000001,0.1,left
0.0,,12.294889990997035,0.0,0.0,-4.999999999999999,271.0,6.0,0.2,left
1.0,4.0,16.44550048900419,17.354141147996415,17.36841964200721,4.999999999999999,170.0,7.000000000000001,0.5,right
0.0,,20.54656149899529,0.0,0.0,4.999999999999999,112.0,9.0,0.3,right
1.0,4.0,24.657527201008634,25.7055776000052,25.71574711399444,4.999999999999999,63.0,7.000000000000001,0.4,right
1.0,4.0,28.747012470994378,29.64663614600431,29.656431059003808,-4.999999999999999,24.0,6.0,0.6,left
1.0,4.0,32.80858214800537,33.57394774199929,33.58076805200835,-4.999999999999999,268.0,7.000000000000001,0.7,left
0.0,,36.84803018400271,0.0,0.0,-7.000000000000001,154.0,8.000000000000002,0.1,left
0.0,,40.9107700970053,0.0,0.0,7.000000000000001,166.0,9.0,0.2,left
1.0,4.0,45.03203206200851,46.07781048800098,46.08334471299895,-4.999999999999999,29.0,7.000000000000001,0.5,left
0.0,,49.09888435799803,0.0,0.0,-7.000000000000001,207.0,6.0,0.3,left
0.0,,53.24581829900853,0.0,0.0,7.000000000000001,335.0,8.000000000000002,0.4,left
1.0,4.0,57.34851043499657,58.36604094700306,58.371952456000145,4.999999999999999,57.0,8.000000000000002,0.6,right
